name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-09-15,53.9,43,49.8,53.9,41.1,48.8,37.1,62.2,0.095,100,4.17,rain,0,0,21.5,11.5,182.8,1034.4,39,10.3,163.5,14.2,5,10,2024-09-15T06:20:24,2024-09-15T18:10:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-16,57.4,48,52.3,57.4,44.8,51.4,43,71,0.001,100,4.17,rain,0,0,23.3,10.8,235.8,1031.1,91.6,9.7,135.2,11.7,6,10,2024-09-16T06:18:51,2024-09-16T18:11:48,0.43,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-17,58.3,47.3,52.3,58.3,47.3,52.3,42,69,0.056,100,4.17,rain,0,0,23.9,8.1,250.3,1025.4,66.6,10.8,185.1,16.1,8,10,2024-09-17T06:17:18,2024-09-17T18:12:39,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-18,68.2,41.6,57.1,68.2,41.6,56.6,36.5,49.6,0,0,0,,0,0,32.9,14.3,317.4,1013.1,31.2,11.2,225.2,19.3,8,10,2024-09-18T06:15:44,2024-09-18T18:13:29,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-19,59.3,51.6,54.8,59.3,51.6,54.8,43.7,67.1,0.022,100,12.5,rain,0,0,28.2,13.4,287.2,1008.7,75.3,10,132.7,11.6,5,10,2024-09-19T06:14:11,2024-09-19T18:14:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-09-20,63.5,49,54.5,63.5,46,54.1,43.4,67,0.06,100,8.33,rain,0,0,25.9,11.1,317.9,1007.5,73.6,10.8,103.7,8.8,4,10,2024-09-20T06:12:37,2024-09-20T18:15:11,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-21,62.7,52.4,56.8,62.7,52.4,56.8,43.8,62.6,0.242,100,8.33,rain,0,0,28.4,9.7,308.4,1009,94.7,10.6,118.4,10.2,6,10,2024-09-21T06:11:04,2024-09-21T18:16:02,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-22,67.9,53.3,60.3,67.9,53.3,60.3,45,58.2,0.01,100,4.17,rain,0,0,21.3,11.8,324.2,1013.6,73.3,10.2,146.8,12.6,6,10,2024-09-22T06:09:30,2024-09-22T18:16:54,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-23,64.5,52.6,58.6,64.5,52.6,58.6,48,69,0.007,100,4.17,rain,0,0,23.3,10.4,333.8,1017.3,60.7,10.3,108,9.3,5,10,2024-09-23T06:07:56,2024-09-23T18:17:45,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-24,74.5,48.7,61.5,74.5,48.7,61.5,49.7,70.2,0,0,0,,0,0,31.1,12.8,358.3,1014.1,95.2,8.2,161.6,13.8,7,10,2024-09-24T06:06:23,2024-09-24T18:18:37,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"YMAV,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-09-25,60.9,51,54.9,60.9,51,54.9,50.2,84.9,0.056,100,8.33,rain,0,0,25.1,11.5,180,1013.5,98.3,7.5,33.6,2.9,2,10,2024-09-25T06:04:50,2024-09-25T18:19:29,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-26,55.5,48.1,51.8,55.5,45.4,51.4,38.5,60.4,0.295,100,4.17,rain,0,0,23.9,11.7,174,1025.5,40.4,10.1,106.5,9.1,3,10,2024-09-26T06:03:16,2024-09-26T18:20:21,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-27,59.3,47.2,52.8,59.3,46,52.7,42.1,68,0.007,100,4.17,rain,0,0,8.1,9.2,180.9,1027.9,14.6,10.9,230.6,20,8,10,2024-09-27T06:01:43,2024-09-27T18:21:13,0.81,Rain,Clear conditions throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-28,70.8,44.5,59,70.8,40.2,58.1,43,59.3,0,0,0,,0,0,30.6,16,10.3,1022.8,48.5,11,226.9,19.5,8,10,2024-09-28T06:00:10,2024-09-28T18:22:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
